"month","year","day_type","entry_station","exit_station","avg_trips","date"
9,2013,"Weekday","BK","RR",81.05,2013-09-01
9,2013,"Weekday","BK","OW",108.5,2013-09-01
9,2013,"Weekday","BK","EM",1288.35,2013-09-01
9,2013,"Weekday","BK","MT",989.7,2013-09-01
9,2013,"Weekday","BK","PL",870.1,2013-09-01
9,2013,"Weekday","BK","CC",640.2,2013-09-01
9,2013,"Weekday","BK","16",379.65,2013-09-01
9,2013,"Weekday","BK","24",339.8,2013-09-01
9,2013,"Weekday","BK","GP",149.35,2013-09-01
9,2013,"Weekday","BK","BP",135.75,2013-09-01
9,2013,"Weekday","BK","DC",178.2,2013-09-01
9,2013,"Weekday","BK","CM",43.8,2013-09-01
9,2013,"Weekday","BK","CV",65.25,2013-09-01
9,2013,"Weekday","BK","ED",139.05,2013-09-01
9,2013,"Weekday","BK","NC",60.7,2013-09-01
9,2013,"Weekday","BK","WP",115.95,2013-09-01
9,2013,"Weekday","BK","SS",39.55,2013-09-01
9,2013,"Weekday","BK","SB",50.1,2013-09-01
9,2013,"Weekday","BK","SO",178.45,2013-09-01
9,2013,"Weekday","BK","MB",184.35,2013-09-01
9,2013,"Weekday","BK","WD",68.1,2013-09-01
9,2013,"Weekday","AS","RM",115.9,2013-09-01
9,2013,"Weekday","AS","EN",165.45,2013-09-01
9,2013,"Weekday","AS","EP",85.1,2013-09-01
9,2013,"Weekday","AS","NB",74.05,2013-09-01
9,2013,"Weekday","AS","BK",425,2013-09-01
9,2013,"Weekday","AS","AS",14.6,2013-09-01
9,2013,"Weekday","AS","MA",113.9,2013-09-01
9,2013,"Weekday","AS","19",267.65,2013-09-01
9,2013,"Weekday","AS","12",263.05,2013-09-01
9,2013,"Weekday","AS","LM",97.65,2013-09-01
9,2013,"Weekday","AS","FV",130.05,2013-09-01
9,2013,"Weekday","AS","CL",125.05,2013-09-01
9,2013,"Weekday","AS","SL",47,2013-09-01
9,2013,"Weekday","AS","BF",45.55,2013-09-01
9,2013,"Weekday","AS","HY",50.7,2013-09-01
9,2013,"Weekday","AS","SH",28.2,2013-09-01
9,2013,"Weekday","AS","UC",40.25,2013-09-01
9,2013,"Weekday","AS","FM",74.75,2013-09-01
9,2013,"Weekday","AS","CN",29.6,2013-09-01
9,2013,"Weekday","AS","PH",24.3,2013-09-01
9,2013,"Weekday","AS","WC",39.25,2013-09-01
9,2013,"Weekday","AS","LF",11.25,2013-09-01
9,2013,"Weekday","AS","OR",9.15,2013-09-01
9,2013,"Weekday","AS","RR",21.6,2013-09-01
9,2013,"Weekday","AS","OW",45.05,2013-09-01
9,2013,"Weekday","AS","EM",886.3,2013-09-01
9,2013,"Weekday","AS","MT",774.05,2013-09-01
9,2013,"Weekday","AS","PL",423,2013-09-01
9,2013,"Weekday","AS","CC",473.75,2013-09-01
9,2013,"Weekday","AS","16",222.2,2013-09-01
9,2013,"Weekday","AS","24",140.65,2013-09-01
9,2013,"Weekday","AS","GP",45.35,2013-09-01
9,2013,"Weekday","AS","BP",65.3,2013-09-01
9,2013,"Weekday","AS","DC",86.65,2013-09-01
9,2013,"Weekday","AS","CM",12.9,2013-09-01
9,2013,"Weekday","AS","CV",16.7,2013-09-01
9,2013,"Weekday","AS","ED",24.35,2013-09-01
9,2013,"Weekday","AS","NC",10.1,2013-09-01
9,2013,"Weekday","AS","WP",33.55,2013-09-01
9,2013,"Weekday","AS","SS",9.35,2013-09-01
9,2013,"Weekday","AS","SB",16.85,2013-09-01
9,2013,"Weekday","AS","SO",64.5,2013-09-01
9,2013,"Weekday","AS","MB",32.7,2013-09-01
9,2013,"Weekday","AS","WD",12.5,2013-09-01
9,2013,"Weekday","MA","RM",175.85,2013-09-01
9,2013,"Weekday","MA","EN",302.65,2013-09-01
9,2013,"Weekday","MA","EP",136.1,2013-09-01
9,2013,"Weekday","MA","NB",106.65,2013-09-01
9,2013,"Weekday","MA","BK",530.6,2013-09-01
9,2013,"Weekday","MA","AS",106.9,2013-09-01
9,2013,"Weekday","MA","MA",20,2013-09-01
9,2013,"Weekday","MA","19",174.45,2013-09-01
9,2013,"Weekday","MA","12",241.7,2013-09-01
9,2013,"Weekday","MA","LM",106.65,2013-09-01
9,2013,"Weekday","MA","FV",221.25,2013-09-01
9,2013,"Weekday","MA","CL",257.75,2013-09-01
9,2013,"Weekday","MA","SL",136.75,2013-09-01
9,2013,"Weekday","MA","BF",135.95,2013-09-01
9,2013,"Weekday","MA","HY",129.3,2013-09-01
9,2013,"Weekday","MA","SH",61.35,2013-09-01
9,2013,"Weekday","MA","UC",99.4,2013-09-01
9,2013,"Weekday","MA","FM",167.65,2013-09-01
9,2013,"Weekday","MA","CN",157.15,2013-09-01
9,2013,"Weekday","MA","PH",131.85,2013-09-01
9,2013,"Weekday","MA","WC",153.5,2013-09-01
9,2013,"Weekday","MA","LF",60.75,2013-09-01
9,2013,"Weekday","MA","OR",55.2,2013-09-01
9,2013,"Weekday","MA","RR",75.4,2013-09-01
9,2013,"Weekday","MA","OW",74.9,2013-09-01
9,2013,"Weekday","MA","EM",1172.3,2013-09-01
9,2013,"Weekday","MA","MT",1132.65,2013-09-01
9,2013,"Weekday","MA","PL",761.45,2013-09-01
9,2013,"Weekday","MA","CC",745.1,2013-09-01
9,2013,"Weekday","MA","16",365.85,2013-09-01
9,2013,"Weekday","MA","24",244.8,2013-09-01
9,2013,"Weekday","MA","GP",80.35,2013-09-01
9,2013,"Weekday","MA","BP",108.4,2013-09-01
9,2013,"Weekday","MA","DC",134.6,2013-09-01
9,2013,"Weekday","MA","CM",32.25,2013-09-01
9,2013,"Weekday","MA","CV",35.05,2013-09-01
9,2013,"Weekday","MA","ED",64.9,2013-09-01
9,2013,"Weekday","MA","NC",50.65,2013-09-01
9,2013,"Weekday","MA","WP",240.15,2013-09-01
9,2013,"Weekday","MA","SS",24.05,2013-09-01
9,2013,"Weekday","MA","SB",36.35,2013-09-01
9,2013,"Weekday","MA","SO",119.7,2013-09-01
9,2013,"Weekday","MA","MB",68.35,2013-09-01
9,2013,"Weekday","MA","WD",32,2013-09-01
9,2013,"Weekday","19","RM",151.5,2013-09-01
9,2013,"Weekday","19","EN",503,2013-09-01
9,2013,"Weekday","19","EP",277.4,2013-09-01
9,2013,"Weekday","19","NB",225.05,2013-09-01
9,2013,"Weekday","19","BK",601.7,2013-09-01
9,2013,"Weekday","19","AS",265.95,2013-09-01
9,2013,"Weekday","19","MA",184.25,2013-09-01
9,2013,"Weekday","19","19",22.4,2013-09-01
9,2013,"Weekday","19","12",48.95,2013-09-01
9,2013,"Weekday","19","LM",53.5,2013-09-01
9,2013,"Weekday","19","FV",203.35,2013-09-01
9,2013,"Weekday","19","CL",264.65,2013-09-01
9,2013,"Weekday","19","SL",242.4,2013-09-01
9,2013,"Weekday","19","BF",232.35,2013-09-01
